Ave	FracMissing
3642.50	0.000000
2809.70	0.000000
2675.70	0.000000
1565.20	0.000000
1413.68	0.000000
1389.94	0.000000
1321.90	0.000000
1148.60	0.000000
1084.20	0.000000
1067.30	0.000000
1012.70	0.000000
953.40	0.000000
953.00	0.000000
903.80	0.000000
893.70	0.000000
893.30	0.000000
725.70	0.000000
699.30	0.000000
680.36	0.000000
674.42	0.000000
601.70	0.000000
600.20	0.000000
580.20	0.000000
579.30	0.000000
576.70	0.000000
569.80	0.000000
568.70	0.000000
541.30	0.000000
532.60	0.000000
502.30	0.000000
498.25	0.000000
495.40	0.000000
493.30	0.000000
491.14	0.000000
480.40	0.000000
477.20	0.000000
473.00	0.000000
469.90	0.000000
467.30	0.000000
465.10	0.000000
440.00	0.000000
436.70	0.000000
436.40	0.000000
429.40	0.000000
426.00	0.000000
424.30	0.000000
422.30	0.000000
420.86	0.000000
401.50	0.000000
395.80	0.000000
386.70	0.000000
373.58	0.000000
371.20	0.000000
365.70	0.000000
353.80	0.000000
341.40	0.000000
320.60	0.000000
319.20	0.000000
318.90	0.000000
318.50	0.000000
317.50	0.000000
315.18	0.000000
309.53	0.000000
305.00	0.000000
300.30	0.000000
297.50	0.000000
297.10	0.000000
296.38	0.000000
294.09	0.000000
292.80	0.000000
284.40	0.000000
266.20	0.000000
262.97	0.000000
262.90	0.000000
262.70	0.000000
256.40	0.000000
255.71	0.000000
253.80	0.000000
251.50	0.000000
247.57	0.000000
241.20	0.000000
239.72	0.000000
237.40	0.000000
234.90	0.000000
234.50	0.000000
234.40	0.000000
232.40	0.000000
229.80	0.000000
227.90	0.000000
224.40	0.000000
222.46	0.000000
220.29	0.000000
219.30	0.000000
217.64	0.000000
216.40	0.000000
216.10	0.000000
213.30	0.000000
212.80	0.000000
212.30	0.000000
209.30	0.000000
207.78	0.000000
207.60	0.000000
206.69	0.000000
205.60	0.000000
203.20	0.000000
202.60	0.000000
200.49	0.000000
199.80	0.000000
199.75	0.000000
199.10	0.000000
195.26	0.000000
194.90	0.000000
194.40	0.000000
194.00	0.000000
191.30	0.000000
189.30	0.000000
189.30	0.000000
189.00	0.000000
189.00	0.000000
186.33	0.000000
186.00	0.000000
184.98	0.000000
184.43	0.000000
183.00	0.000000
182.40	0.000000
180.80	0.000000
178.40	0.000000
177.40	0.000000
177.10	0.000000
176.90	0.000000
176.70	0.000000
176.60	0.000000
176.20	0.000000
175.60	0.000000
172.70	0.000000
171.80	0.000000
171.40	0.000000
169.56	0.000000
169.47	0.000000
169.45	0.000000
169.00	0.000000
167.90	0.000000
167.80	0.000000
166.50	0.000000
165.90	0.000000
165.30	0.000000
165.10	0.000000
163.10	0.000000
163.10	0.000000
162.10	0.000000
161.74	0.000000
161.70	0.000000
160.19	0.000000
159.72	0.000000
159.60	0.000000
157.27	0.000000
156.60	0.000000
155.40	0.000000
155.40	0.000000
155.30	0.000000
154.33	0.000000
152.00	0.000000
151.60	0.000000
148.90	0.000000
145.46	0.000000
145.00	0.000000
144.80	0.000000
143.50	0.000000
141.60	0.000000
141.49	0.000000
138.10	0.000000
137.70	0.000000
137.18	0.000000
137.00	0.000000
135.22	0.000000
133.90	0.000000
132.50	0.000000
130.50	0.000000
130.40	0.000000
128.63	0.000000
128.30	0.000000
127.60	0.000000
127.20	0.000000
124.79	0.000000
124.70	0.000000
123.91	0.000000
123.70	0.000000
123.50	0.000000
123.23	0.000000
123.00	0.000000
122.40	0.000000
121.90	0.000000
121.80	0.000000
121.60	0.000000
118.65	0.000000
118.24	0.000000
118.10	0.000000
117.84	0.000000
117.80	0.000000
117.70	0.000000
117.50	0.000000
117.00	0.000000
116.90	0.000000
116.70	0.000000
116.10	0.000000
115.50	0.000000
115.40	0.000000
115.25	0.000000
114.30	0.000000
114.20	0.000000
113.60	0.000000
113.40	0.000000
112.60	0.000000
112.20	0.000000
111.93	0.000000
111.90	0.000000
111.80	0.000000
111.76	0.000000
111.60	0.000000
111.40	0.000000
111.00	0.000000
110.50	0.000000
109.70	0.000000
109.50	0.000000
109.15	0.000000
109.10	0.000000
108.50	0.000000
108.50	0.000000
108.01	0.000000
107.50	0.000000
106.79	0.000000
106.78	0.000000
106.40	0.000000
105.90	0.000000
105.60	0.000000
105.40	0.000000
104.80	0.000000
104.10	0.000000
103.40	0.000000
103.18	0.000000
102.75	0.000000
102.65	0.000000
101.10	0.000000
101.00	0.000000
100.97	0.000000
100.35	0.000000
100.08	0.000000
100.00	0.000000
99.90	0.000000
99.80	0.000000
99.60	0.000000
99.30	0.000000
99.20	0.000000
99.10	0.000000
99.00	0.000000
98.70	0.000000
98.63	0.000000
98.10	0.000000
98.00	0.000000
97.74	0.000000
97.40	0.000000
97.20	0.000000
94.30	0.000000
94.20	0.000000
94.00	0.000000
93.65	0.000000
93.50	0.000000
92.70	0.000000
92.70	0.000000
92.10	0.000000
92.00	0.000000
91.89	0.000000
91.50	0.000000
91.50	0.000000
91.40	0.000000
91.30	0.000000
91.20	0.000000
90.90	0.000000
90.90	0.000000
90.60	0.000000
90.46	0.000000
90.20	0.000000
90.00	0.000000
89.92	0.000000
89.90	0.000000
89.90	0.000000
89.90	0.000000
89.32	0.000000
89.10	0.000000
89.00	0.000000
88.68	0.000000
88.40	0.000000
88.30	0.000000
88.30	0.000000
88.20	0.000000
88.10	0.000000
87.70	0.000000
87.60	0.000000
87.58	0.000000
87.25	0.000000
86.80	0.000000
86.70	0.000000
86.48	0.000000
86.04	0.000000
86.00	0.000000
85.60	0.000000
84.80	0.000000
84.80	0.000000
84.60	0.000000
84.50	0.000000
84.40	0.000000
84.40	0.000962
84.30	0.000958
84.10	0.000955
83.90	0.000952
83.90	0.000949
83.70	0.000946
83.70	0.000943
83.60	0.000940
83.60	0.000938
83.10	0.000935
83.10	0.000932
83.02	0.000929
83.00	0.000926
82.18	0.000923
82.10	0.000920
82.00	0.000917
81.40	0.000915
81.20	0.000912
81.20	0.000909
80.90	0.000906
80.30	0.000904
80.20	0.000901
79.60	0.000898
79.20	0.000896
79.20	0.000893
79.10	0.000890
79.00	0.000888
78.93	0.000885
78.49	0.000882
78.30	0.000880
78.30	0.000877
78.30	0.000875
77.90	0.000872
77.70	0.000870
77.70	0.000867
77.70	0.000865
77.20	0.000862
77.10	0.000860
76.90	0.000857
76.80	0.000855
76.80	0.000852
76.50	0.000850
76.40	0.000847
76.10	0.000845
76.00	0.000843
76.00	0.000840
76.00	0.000838
75.80	0.000836
75.80	0.000833
