Accession	HCEC_189	HCEC_191	HCEC_194	HCEC_195	HCEC_199	HREC_189	HREC_191	HREC_194	HREC_195	HREC_199
sp|P08670|VIME_HUMAN_family	3088	3824	3157	2925	3940	4037	4838	3028	3096	4492
sp|P35579|MYH9_HUMAN_family	2166	2767	2443	2678	2913	2806	3413	2264	3443	3204
sp|P63261|ACTG_HUMAN_family	2233	2873	2163	2395	3388	2108	3405	1933	2768	3491
sp|Q09666|AHNK_HUMAN	1400	1899	1964	1665	1966	1026	1662	1294	1512	1264
sp|O75369|FLNB_HUMAN	1207	1352	1525	1456	1549	1120	1544	1086	1787	1511
sp|P21333|FLNA_HUMAN	1237	1430	1457	1474	1417	1086	1700	1132	1647	1319
sp|P06733|ENOA_HUMAN_family	1081	1670	1175	1342	1536	1082	1441	975	1510	1407
sp|P04406|G3P_HUMAN	882	1294	887	1226	1099	947	1317	863	1558	1413
sp|P14618|KPYM_HUMAN_family	972	1310	955	1075	1249	849	1266	778	1032	1356
sp|P07355|ANXA2_HUMAN	921	1149	1007	1328	1140	843	1306	1011	897	1071
sp|Q15149|PLEC_HUMAN_family	738	1236	1447	961	1211	636	1099	1141	835	823
sp|P04275|VWF_HUMAN	608	990	892	1027	1164	718	1109	791	1503	732
sp|P07437|TBB5_HUMAN	848	1284	746	1046	1002	777	1217	725	1003	882
sp|P98160|PGBM_HUMAN	669	722	724	718	623	822	1099	885	1758	1018
sp|Q9Y490|TLN1_HUMAN_family	841	1348	1019	734	835	783	1081	919	775	602
sp|P68104|EF1A1_HUMAN_family	666	893	557	863	1546	542	853	549	906	1558
sp|P11142|HSP7C_HUMAN_family	612	859	715	753	822	628	758	577	701	832
sp|P08238|HS90B_HUMAN_family	591	783	567	816	789	550	701	523	757	916
sp|P13639|EF2_HUMAN	649	834	619	681	596	585	800	582	809	647
sp|P26038|MOES_HUMAN	539	742	609	677	685	635	950	554	752	600
sp|P11021|GRP78_HUMAN	497	657	527	487	568	607	697	553	679	745
sp|P04083|ANXA1_HUMAN	512	763	635	839	755	405	611	492	524	466
sp|P62937|PPIA_HUMAN_family	498	779	590	642	594	544	564	482	587	522
sp|O43707|ACTN4_HUMAN	455	519	552	620	644	482	580	444	821	676
sp|Q13813|SPTN1_HUMAN	409	388	721	580	711	557	464	479	837	621
sp|P62805|H4_HUMAN	558	750	576	682	759	383	578	437	516	459
sp|Q00610|CLH1_HUMAN_family	393	408	555	754	740	338	469	406	905	719
sp|P14625|ENPL_HUMAN	471	584	372	505	561	552	710	400	637	621
sp|Q14204|DYHC1_HUMAN	408	455	581	562	686	341	505	477	755	556
sp|P18206|VINC_HUMAN	373	536	471	337	426	589	800	577	527	387
sp|P02545|LMNA_HUMAN	465	583	657	444	513	473	491	518	378	459
sp|P07900|HS90A_HUMAN_family	456	498	326	568	661	354	470	322	538	761
sp|P02751|FINC_HUMAN	349	155	318	398	339	289	325	398	1659	703
sp|P23528|COF1_HUMAN	412	409	358	495	839	349	474	297	459	819
