Program "PAW_quantitative_report.py" run on Tue Aug 30 08:10:49 2016

	=SUBTOTAL(109,B5:B6278)														Total	Total	Total	Total	Total	Total	Total	Total	Total	Total	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Unique	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected	Corrected
ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Link	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	HCEC_189	HCEC_191	HCEC_194	HCEC_195	HCEC_199	HREC_189	HREC_191	HREC_194	HREC_195	HREC_199	HCEC_189	HCEC_191	HCEC_194	HCEC_195	HCEC_199	HREC_189	HREC_191	HREC_194	HREC_195	HREC_199	HCEC_189	HCEC_191	HCEC_194	HCEC_195	HCEC_199	HREC_189	HREC_191	HREC_194	HREC_195	HREC_199
1	1	CONT_005|Trypa5|PromTArt5	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	contaminant	100.0	50	5560	Promega trypsin artifact 5 K to R mods (2239.1, 2914)(1987, 2003).	1097	890	0.811	78	82	27	211	152	64	86	46	203	148	60	50	6	198	122	51	62	27	190	124	63.375	53.865	6.529	203.307	129.974	53.146	66.192	29.455	195.300	130.239
2	1	CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	 	CONT_005|Trypa5|PromTArt5, CONT_010|gi|136429|sp|P00761|TRYP_PIG	 	contaminant	36.8	231	24409	TRYPSIN PRECURSOR [Sus scrofa].	3049	2842	0.932	278	396	253	300	367	271	317	201	289	377	260	364	232	287	337	258	293	182	276	353	274.625	392.135	252.471	294.693	359.026	268.854	312.808	198.545	283.700	370.761
3	1	CONT_011|gi|136425|sp|P00760|TRYP_BOVIN	 	 	 	 	contaminant	17.5	229	23993	TRYPSINOGEN [Bos taurus].	6	6	1.000	2	0	0	2	1	0	0	0	1	0	2	0	0	2	1	0	0	0	1	0	2.000	0.000	0.000	2.000	1.000	0.000	0.000	0.000	1.000	0.000
4	1	CONT_015|gi|229552|prf||754920A	 	 	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN, CONT_018|gi|113580|sp|P02770|ALBU_RAT	 	contaminant	78.0	581	65797	albumin [Bos primigenius taurus].	3648	207	0.057	465	474	261	397	326	521	307	233	450	214	30	24	8	26	26	36	20	9	18	10	81.000	78.000	33.000	67.000	64.000	94.000	48.000	26.000	68.000	29.000
6	1	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN (+1)	CONT_017|gi|113576|sp|P02768|ALBU_HUMAN&sp|P02768|ALBU_HUMAN	 	CONT_015|gi|229552|prf||754920A, CONT_016|gi|113574|sp|P02769|ALBU_BOVIN, CONT_017|gi|113576|sp|P02768|ALBU_HUMAN	 	contaminant	35.3	609	69366	SERUM ALBUMIN PRECURSOR [Homo sapiens].	422	63	0.149	84	64	49	19	21	61	36	28	38	22	39	0	23	0	0	0	0	1	0	0	39.000	1.000	23.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000
11	1	CONT_049|gi|88052|pir||A32568	 	 	CONT_041|gi|109048|pir||S22025, CONT_044|gi|1083132|pir||A56694, CONT_049|gi|88052|pir||A32568, CONT_073|gi|87303|pir||JS0487, CONT_102|gi|88044|pir||S01068, CONT_109|gi|125116|sp|P15241|K2M2_SHEEP, CONT_120|gi|125108|sp|P08729|K2C7_HUMAN, CONT_129|gi|1346344|sp|P02538|K2CA_HUMAN, CONT_130|gi|1346345|sp|P04259|K2CB_HUMAN, CONT_131|gi|1346346|sp|P48666|K2CC_HUMAN, CONT_133|gi|1346349|sp|P48669|K2CF_HUMAN, CONT_140|gi|88045|pir||S05602, CONT_173|gi|1903218|gnl|PID|e255345, sp|O95678|K2C75_HUMAN, sp|P08670|VIME_HUMAN, sp|P08729|K2C7_HUMAN, sp|P13647|K2C5_HUMAN, sp|P14136|GFAP_HUMAN, sp|P35908|K22E_HUMAN, sp|Q01546|K22O_HUMAN, sp|Q14CN4|K2C72_HUMAN, sp|Q5XKE5|K2C79_HUMAN, sp|Q7Z794|K2C1B_HUMAN, sp|Q86Y46|K2C73_HUMAN, sp|Q8N1N4|K2C78_HUMAN, sp|Q9NSB2|KRT84_HUMAN	 	contaminant	32.8	589	62033	keratin K5, 58K type II, epidermal (version 2) (fragment) [Homo sapiens].	130	0	0.000	9	12	13	7	6	13	39	17	10	4	0	0	0	0	0	0	0	0	0	0	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
12	1	CONT_068|gi|1082558|pir||S41161 (+1)	CONT_068|gi|1082558|pir||S41161&sp|P35527|K1C9_HUMAN	 	CONT_046|gi|88041|pir||A31994, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_156|gi|1363944|pir||JC4313, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|P02533|K1C14_HUMAN, sp|P13645|K1C10_HUMAN	 	contaminant	47.7	623	62129	keratin 9, cytoskeletal [Homo sapiens].	180	178	0.989	19	11	31	3	11	12	32	34	26	1	19	11	30	3	11	12	31	34	26	1	19.000	11.000	30.000	3.000	11.000	12.000	31.000	34.000	26.000	1.000
14	1	CONT_074|gi|1070608|pir||KRHU9 (+2)	CONT_074|gi|1070608|pir||KRHU9&CONT_099|gi|417200|sp|P08727|K1CS_HUMAN&sp|P08727|K1C19_HUMAN	 	CONT_046|gi|88041|pir||A31994, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|O76015|KRT38_HUMAN, sp|P02533|K1C14_HUMAN, sp|P13645|K1C10_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q2M2I5|K1C24_HUMAN, sp|Q7Z3Y7|K1C28_HUMAN	 	contaminant	66.2	400	44091	keratin 19, type I, cytoskeletal [Homo sapiens].	250	126	0.504	18	15	57	10	20	8	20	60	9	33	13	5	36	2	8	6	6	31	3	16	13.000	6.000	44.000	2.000	9.000	6.000	7.000	40.000	3.000	19.000
17	1	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN (+1)	CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN&sp|Q04695|K1C17_HUMAN	 	CONT_046|gi|88041|pir||A31994, CONT_068|gi|1082558|pir||S41161, CONT_074|gi|1070608|pir||KRHU9, CONT_075|gi|1346342|sp|P08779|K1CX_HUMAN, CONT_076|gi|125083|sp|P05783|K1CR_HUMAN, CONT_094|gi|547751|sp|Q04695|K1CQ_HUMAN, CONT_101|gi|125081|sp|P19012|K1CO_HUMAN, CONT_108|gi|125090|sp|P02534|K1M1_SHEEP, CONT_156|gi|1363944|pir||JC4313, CONT_167|gi|1668744|gnl|PID|e195475, CONT_168|gi|1708589|sp|P30654|K1CP_HUMAN, sp|O76015|KRT38_HUMAN, sp|P02533|K1C14_HUMAN, sp|P13645|K1C10_HUMAN, sp|P13646|K1C13_HUMAN, sp|Q2M2I5|K1C24_HUMAN, sp|Q7Z3Y7|K1C28_HUMAN	 	contaminant	24.3	432	48105	KERATIN, TYPE I CYTOSKELETAL 17 (CYTOKERATIN 17) (K17) (CK 17) (39.1) (VERSION 1) [Homo sapiens].	66	6	0.091	2	2	12	3	4	0	16	12	6	9	0	0	0	0	0	0	3	1	2	0	0.000	0.000	0.000	0.000	0.000	0.000	3.000	1.000	2.000	0.000
